rrf_k,protect_top,variant,avg_recall,avg_ndcg,avg_valid_recall,avg_valid_ndcg
25.0,4,q20_sum,0.25257771928054484,0.13995107089310743,0.8430481431806651,0.5005017957308371
25.0,4,q25_alpha_transfer_tuned,0.2508300086549676,0.13973486741878385,0.8494582972629383,0.5026407233678536
25.0,4,q25_sum,0.2528679841105095,0.14006480548668948,0.8429395313752002,0.5004999224077423
25.0,4,q25_valid_r_plus_2n,0.2528679841105095,0.14006480548668948,0.8429395313752002,0.5004999224077423
25.0,4,q30_50_20_sum,0.25257771928054484,0.13995107089310743,0.8430481431806651,0.5005017957308371
25.0,4,q30_sum,0.25256273990562905,0.1399297545735491,0.8428726247155516,0.5004468410646983
25.0,5,q20_sum,0.25193573997460816,0.13961058051958375,0.8430455866820457,0.49999577467369116
25.0,5,q25_alpha_transfer_tuned,0.2496182727150122,0.13924854484843452,0.8494582972629383,0.5022283713338163
25.0,5,q25_sum,0.2522476367159685,0.13973767307646814,0.8429395313752002,0.4999886320895645
25.0,5,q25_valid_r_plus_2n,0.2522476367159685,0.13975322184317793,0.8429179423011919,0.5000039658867625
25.0,5,q30_50_20_sum,0.25193573997460816,0.13961058051958375,0.8430455866820457,0.49999577467369116
25.0,5,q30_sum,0.2519423925110881,0.13962258262392205,0.8429179423011919,0.49997450332817284
25.0,6,q20_sum,0.2518525750246304,0.13949587495156096,0.8430455866820457,0.4995888562103584
25.0,6,q25_alpha_transfer_tuned,0.24771276786842905,0.13861711460807158,0.8494582972629383,0.5017054338793128
25.0,6,q25_sum,0.2521644717659907,0.13960443958833013,0.8429395313752002,0.49958835263324053
25.0,6,q25_valid_r_plus_2n,0.2521644717659907,0.13962334259702303,0.8429179423011919,0.4996045336911109
25.0,6,q30_50_20_sum,0.2518525750246304,0.13949587495156096,0.8430455866820457,0.4995888562103584
25.0,6,q30_sum,0.2514546968167737,0.13936552684536538,0.8429179423011919,0.4996289823019129
30.0,4,q20_sum,0.25149478212136434,0.13974788820097717,0.8438139780679388,0.5006717370358055
30.0,4,q25_alpha_transfer_tuned,0.24796912120229211,0.13921288693172212,0.8492449659846384,0.5025404222343973
30.0,4,q25_sum,0.2516286598623073,0.1397968589383758,0.843627309896042,0.5006341118640302
30.0,4,q25_valid_r_plus_2n,0.2516286598623073,0.1397968589383758,0.843627309896042,0.5006341118640302
30.0,4,q30_50_20_sum,0.25149478212136434,0.13974788820097717,0.8438139780679388,0.5006717370358055
30.0,4,q30_sum,0.25154122341904966,0.13975205288173395,0.8434672504214664,0.5006992835951403
30.0,5,q20_sum,0.25331517047087887,0.14002913118499793,0.8438139780679388,0.5002313631991431
30.0,5,q25_alpha_transfer_tuned,0.24830227071736752,0.1390084332208853,0.8492449659846384,0.5021476982786541
30.0,5,q25_sum,0.25344904821182185,0.14009256084318103,0.843627309896042,0.5001933062148123
30.0,5,q25_valid_r_plus_2n,0.25344904821182185,0.1401091129273949,0.8435813500315337,0.5002223596377522
30.0,5,q30_50_20_sum,0.25331517047087887,0.14002913118499793,0.8438139780679388,0.5002313631991431
30.0,5,q30_sum,0.25323754228965606,0.14000495787688266,0.8435813500315337,0.5001726514239192
30.0,6,q20_sum,0.25331517047087887,0.13984973696768807,0.8438139780679388,0.4998264172310532
30.0,6,q25_alpha_transfer_tuned,0.24951842976982097,0.13911152607996172,0.8492449659846384,0.5016566849184714
30.0,6,q25_sum,0.25344904821182185,0.13989438276195373,0.843627309896042,0.4998211871449859
30.0,6,q25_valid_r_plus_2n,0.25344904821182185,0.13989438276195373,0.843627309896042,0.4998211871449859
30.0,6,q30_50_20_sum,0.25331517047087887,0.13984973696768807,0.8438139780679388,0.4998264172310532
30.0,6,q30_sum,0.25283301154531945,0.13966002512874004,0.8435813500315337,0.49984422877471624
35.0,4,q20_sum,0.2512466231565887,0.13971094516584304,0.8446347907502836,0.5009839186883032
35.0,4,q25_alpha_transfer_tuned,0.24945329270578467,0.13968822819107363,0.8495339375791993,0.5028176295064406
35.0,4,q25_sum,0.25165562342194814,0.13980915367557434,0.8444759256055923,0.5008972412065146
35.0,4,q25_valid_r_plus_2n,0.25165562342194814,0.13982415270111243,0.8443615589961884,0.5009740107240377
35.0,4,q30_50_20_sum,0.2512466231565887,0.13971094516584304,0.8446347907502836,0.5009839186883032
35.0,4,q30_sum,0.2519172463860169,0.13988993588962303,0.8442936962494786,0.5010394804550182
35.0,5,q20_sum,0.25152783800473266,0.13956022078615885,0.8446347907502836,0.5004386572270199
35.0,5,q25_alpha_transfer_tuned,0.24840007448213208,0.13918336764955838,0.8495339375791993,0.5023129935468676
35.0,5,q25_sum,0.2519368382700921,0.13964287873284145,0.8444759256055923,0.5003684236859565
35.0,5,q25_valid_r_plus_2n,0.2519368382700921,0.13965503868202553,0.8443615589961884,0.500429161754224
35.0,5,q30_50_20_sum,0.25152783800473266,0.13956022078615885,0.8446347907502836,0.5004386572270199
35.0,5,q30_sum,0.2521984612341609,0.1397544568183408,0.8442936962494786,0.5004463770174131
35.0,6,q20_sum,0.2512466231565887,0.13929716122323038,0.8446347907502836,0.5000674153607533
35.0,6,q25_alpha_transfer_tuned,0.24840007448213208,0.13894086563536517,0.8495339375791993,0.5018352069859685
35.0,6,q25_sum,0.25165562342194814,0.13940851956053785,0.8444759256055923,0.5000338473713282
35.0,6,q25_valid_r_plus_2n,0.25165562342194814,0.13940851956053785,0.8444759256055923,0.5000338473713282
35.0,6,q30_50_20_sum,0.2512466231565887,0.13929716122323038,0.8446347907502836,0.5000674153607533
35.0,6,q30_sum,0.2519172463860169,0.13949110113190025,0.8444080628588825,0.49996405542966016
